"TIME","GEO","UNIT","SEX","AGE","Value"
"2020W39","Arr. Eeklo","Number","Total","90 years or over","3"
"2020W40","Arr. Eeklo","Number","Total","90 years or over",":"
"2020W41","Arr. Eeklo","Number","Total","90 years or over",":"
"2020W99","Arr. Eeklo","Number","Total","90 years or over",":"
"2020W28","Arr. Gent","Number","Total","90 years or over","17"
"2020W29","Arr. Gent","Number","Total","90 years or over","16"
"2020W30","Arr. Gent","Number","Total","90 years or over","28"
"2020W31","Arr. Gent","Number","Total","90 years or over","24"
"2020W32","Arr. Gent","Number","Total","90 years or over","24"
"2020W33","Arr. Gent","Number","Total","90 years or over","34"
"2020W34","Arr. Gent","Number","Total","90 years or over","25"
"2020W35","Arr. Gent","Number","Total","90 years or over","26"
"2020W36","Arr. Gent","Number","Total","90 years or over","27"
"2020W37","Arr. Gent","Number","Total","90 years or over","16"
"2020W38","Arr. Gent","Number","Total","90 years or over","27"
"2020W39","Arr. Gent","Number","Total","90 years or over","23"
"2020W40","Arr. Gent","Number","Total","90 years or over",":"
"2020W41","Arr. Gent","Number","Total","90 years or over",":"
"2020W99","Arr. Gent","Number","Total","90 years or over",":"
"2020W28","Arr. Oudenaarde","Number","Total","90 years or over","3"
"2020W29","Arr. Oudenaarde","Number","Total","90 years or over","9"
"2020W30","Arr. Oudenaarde","Number","Total","90 years or over","9"
"2020W31","Arr. Oudenaarde","Number","Total","90 years or over","11"
"2020W32","Arr. Oudenaarde","Number","Total","90 years or over","6"
"2020W33","Arr. Oudenaarde","Number","Total","90 years or over","9"
"2020W34","Arr. Oudenaarde","Number","Total","90 years or over","10"
"2020W35","Arr. Oudenaarde","Number","Total","90 years or over","6"
"2020W36","Arr. Oudenaarde","Number","Total","90 years or over","4"
"2020W37","Arr. Oudenaarde","Number","Total","90 years or over","5"
"2020W38","Arr. Oudenaarde","Number","Total","90 years or over","5"
"2020W39","Arr. Oudenaarde","Number","Total","90 years or over","8"
"2020W40","Arr. Oudenaarde","Number","Total","90 years or over",":"
"2020W41","Arr. Oudenaarde","Number","Total","90 years or over",":"
"2020W99","Arr. Oudenaarde","Number","Total","90 years or over",":"
"2020W28","Arr. Sint-Niklaas","Number","Total","90 years or over","3"
"2020W29","Arr. Sint-Niklaas","Number","Total","90 years or over","8"
"2020W30","Arr. Sint-Niklaas","Number","Total","90 years or over","11"
"2020W31","Arr. Sint-Niklaas","Number","Total","90 years or over","10"
"2020W32","Arr. Sint-Niklaas","Number","Total","90 years or over","9"
"2020W33","Arr. Sint-Niklaas","Number","Total","90 years or over","13"
"2020W34","Arr. Sint-Niklaas","Number","Total","90 years or over","5"
"2020W35","Arr. Sint-Niklaas","Number","Total","90 years or over","9"
"2020W36","Arr. Sint-Niklaas","Number","Total","90 years or over","7"
"2020W37","Arr. Sint-Niklaas","Number","Total","90 years or over","10"
"2020W38","Arr. Sint-Niklaas","Number","Total","90 years or over","4"
"2020W39","Arr. Sint-Niklaas","Number","Total","90 years or over","4"
"2020W40","Arr. Sint-Niklaas","Number","Total","90 years or over",":"
"2020W41","Arr. Sint-Niklaas","Number","Total","90 years or over",":"
"2020W99","Arr. Sint-Niklaas","Number","Total","90 years or over",":"
"2020W28","Prov. Vlaams-Brabant","Number","Total","90 years or over","31"
"2020W29","Prov. Vlaams-Brabant","Number","Total","90 years or over","55"
"2020W30","Prov. Vlaams-Brabant","Number","Total","90 years or over","36"
"2020W31","Prov. Vlaams-Brabant","Number","Total","90 years or over","36"
"2020W32","Prov. Vlaams-Brabant","Number","Total","90 years or over","54"
"2020W33","Prov. Vlaams-Brabant","Number","Total","90 years or over","76"
"2020W34","Prov. Vlaams-Brabant","Number","Total","90 years or over","44"
"2020W35","Prov. Vlaams-Brabant","Number","Total","90 years or over","39"
"2020W36","Prov. Vlaams-Brabant","Number","Total","90 years or over","46"
"2020W37","Prov. Vlaams-Brabant","Number","Total","90 years or over","41"
"2020W38","Prov. Vlaams-Brabant","Number","Total","90 years or over","42"
"2020W39","Prov. Vlaams-Brabant","Number","Total","90 years or over","49"
"2020W40","Prov. Vlaams-Brabant","Number","Total","90 years or over",":"
"2020W41","Prov. Vlaams-Brabant","Number","Total","90 years or over",":"
"2020W99","Prov. Vlaams-Brabant","Number","Total","90 years or over",":"
"2020W28","Arr. Halle-Vilvoorde","Number","Total","90 years or over","18"
"2020W29","Arr. Halle-Vilvoorde","Number","Total","90 years or over","32"
"2020W30","Arr. Halle-Vilvoorde","Number","Total","90 years or over","19"
"2020W31","Arr. Halle-Vilvoorde","Number","Total","90 years or over","14"
"2020W32","Arr. Halle-Vilvoorde","Number","Total","90 years or over","28"
"2020W33","Arr. Halle-Vilvoorde","Number","Total","90 years or over","44"
"2020W34","Arr. Halle-Vilvoorde","Number","Total","90 years or over","20"
"2020W35","Arr. Halle-Vilvoorde","Number","Total","90 years or over","22"
"2020W36","Arr. Halle-Vilvoorde","Number","Total","90 years or over","22"
"2020W37","Arr. Halle-Vilvoorde","Number","Total","90 years or over","25"
"2020W38","Arr. Halle-Vilvoorde","Number","Total","90 years or over","19"
"2020W39","Arr. Halle-Vilvoorde","Number","Total","90 years or over","29"
"2020W40","Arr. Halle-Vilvoorde","Number","Total","90 years or over",":"
"2020W41","Arr. Halle-Vilvoorde","Number","Total","90 years or over",":"
"2020W99","Arr. Halle-Vilvoorde","Number","Total","90 years or over",":"
"2020W28","Arr. Leuven","Number","Total","90 years or over","13"
"2020W29","Arr. Leuven","Number","Total","90 years or over","23"
"2020W30","Arr. Leuven","Number","Total","90 years or over","17"
"2020W31","Arr. Leuven","Number","Total","90 years or over","22"
"2020W32","Arr. Leuven","Number","Total","90 years or over","26"
"2020W33","Arr. Leuven","Number","Total","90 years or over","32"
"2020W34","Arr. Leuven","Number","Total","90 years or over","24"
"2020W35","Arr. Leuven","Number","Total","90 years or over","17"
"2020W36","Arr. Leuven","Number","Total","90 years or over","24"
"2020W37","Arr. Leuven","Number","Total","90 years or over","16"
"2020W38","Arr. Leuven","Number","Total","90 years or over","23"
"2020W39","Arr. Leuven","Number","Total","90 years or over","20"
"2020W40","Arr. Leuven","Number","Total","90 years or over",":"
"2020W41","Arr. Leuven","Number","Total","90 years or over",":"
"2020W99","Arr. Leuven","Number","Total","90 years or over",":"
"2020W28","Prov. West-Vlaanderen","Number","Total","90 years or over","58"
"2020W29","Prov. West-Vlaanderen","Number","Total","90 years or over","53"
"2020W30","Prov. West-Vlaanderen","Number","Total","90 years or over","54"
"2020W31","Prov. West-Vlaanderen","Number","Total","90 years or over","64"
"2020W32","Prov. West-Vlaanderen","Number","Total","90 years or over","52"
"2020W33","Prov. West-Vlaanderen","Number","Total","90 years or over","103"
"2020W34","Prov. West-Vlaanderen","Number","Total","90 years or over","52"
