"step","susceptible_status","exposed_status","infected_presymptomatic_status","infected_symptomatic_status","infected_asymptomatic_status","infected_status","recovered_status","dead_status","infected_rate_status","tested_diagnosis","positive_diagnosis","positive_rate_diagnosis","replicate"
206,1171,205,91,285,286,867,16500,53,0.046635468775213816,1494,560,0.37483015508597667,1
207,1166,188,86,274,270,818,16554,53,0.04399978484212791,1495,554,0.3705660831700122,1
208,1150,184,89,254,262,789,16598,54,0.042439890269485234,1499,551,0.3675759334494099,1
209,1141,180,81,252,246,759,16637,54,0.0408262062288204,1501,548,0.36508750774478516,1
210,1134,171,75,245,235,726,16675,56,0.03905115378408908,1505,541,0.359466050059468,1
211,1125,164,72,243,231,710,16700,56,0.0381905222957345,1507,534,0.3543440322227457,1
212,1114,162,66,246,218,692,16728,57,0.037222311871335595,1511,531,0.3514205729942224,1
213,1111,147,64,245,212,668,16754,58,0.035931364638803726,1515,528,0.34851255107227014,1
214,1104,142,57,240,204,643,16786,58,0.03458662793824969,1519,522,0.34364487396396337,1
215,1100,133,52,234,200,619,16813,59,0.03329568070571782,1523,518,0.3401159545899239,1
216,1097,112,60,224,199,595,16840,59,0.03200473347318595,1531,517,0.3376855801072495,1
217,1094,101,63,205,190,559,16878,60,0.030068312624388145,1538,519,0.3374490412936197,1
218,1088,91,67,195,178,531,16911,61,0.02856220751976763,1539,509,0.33073209400848597,1
219,1082,92,63,182,166,503,16945,61,0.027056102415147113,1541,500,0.3244625278226618,1
220,1080,85,48,183,159,475,16973,63,0.0255499973105266,1546,494,0.31953221518618896,1
221,1077,80,46,175,149,450,17001,63,0.024205260609972568,1551,486,0.31334420796771134,1
222,1071,79,44,164,141,428,17029,63,0.02302189231348502,1555,481,0.30932276962849115,1
223,1066,75,43,159,139,416,17046,63,0.022376418697219083,1558,468,0.3003831811092355,1
224,1062,74,38,154,135,401,17065,63,0.021569576676886665,1561,458,0.2933997860359639,1
225,1058,67,37,149,129,382,17087,64,0.0205475767844656,1564,445,0.28452503500617005,1
226,1055,61,39,145,118,363,17109,64,0.01952557689204454,1568,435,0.2774217001167084,1
227,1053,58,35,140,114,347,17127,64,0.01866494540368996,1574,426,0.27064631101454245,1
228,1049,53,34,133,106,326,17152,64,0.01753536657522457,1578,420,0.2661580091380916,1
229,1046,52,30,126,99,307,17174,64,0.016513366682803506,1580,412,0.26075784330478924,1
230,1046,48,27,119,96,290,17191,64,0.015598945726426765,1582,401,0.25347500963963565,1
0,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,2
1,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,2
2,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,2
3,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,2
4,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,2
5,18589,2,0,0,0,2,0,0,0.00010757893604432252,0,0,0.0,2
