type,country,state/province,epoch,even_id,date,value,restriction
entertainment/cultural sector closure,SAU,,1582761600000.0,1406f904-f861-4eb2-975d-34088a86f5f0,2020-02-27,Churches,1
public transportation,SAU,,1583625600000.0,e7cc214a-f4b4-4d16-91d3-fcb1bd8d7a15,2020-03-08,na,1
entertainment/cultural sector closure,SAU,,1584576000000.0,6612f663-f5d5-4d5a-abc2-b2a9104436ac,2020-03-19,Churches,1
entertainment/cultural sector closure,SAU,,1584662400000.0,199b8e7a-1527-4e53-aa44-8fcbf2286f1b,2020-03-20,Churches,1
entertainment/cultural sector closure,USA,USA-MN,1584057600000.0,67fb7955-5f68-48ad-97ae-64ac47259cc9,2020-03-13,Churches,1
entertainment/cultural sector closure,SAU,,1583625600000.0,5cc901a8-4b5a-49e1-b800-4dcde49bd3c5,2020-03-08,na,1
confinement,SAU,,1585008000000.0,852a05c7-442a-4edc-a5c2-95d8d9d1c7c6,2020-03-24,na,1
confinement,SAU,,1583452800000.0,697040a0-9d0c-49b1-850c-daccddffa285,2020-03-06,na,1
confinement,SAU,,1585785600000.0,57039be5-2edc-40ea-bade-161d0b650e88,2020-04-02,na,1
confinement,SAU,,1586131200000.0,4dcde16e-51dd-42f0-82e0-517e5bbcdd8a,2020-04-06,na,1
entertainment/cultural sector closure,SAU,,1583539200000.0,54729f8b-2243-477d-b0bb-1076a7f39934,2020-03-07,na,1
international flight restrictions,SLV,,1584316800000.0,406f8dde-6e55-497a-898c-c930dd598ab9,2020-03-16,MEX,1
introduction of travel quarantine policies,SLV,,1584403200000.0,3e7e1c66-8df6-40c2-b732-c37287fc89eb,2020-03-17,DEU,1
confinement,USA,USA-MN,1588204800000.0,03d9f9c1-55f2-46d7-9d49-37bb993d74e5,2020-04-30,Mandatory/advisedfor all the population,1
confinement,USA,USA-MN,1585267200000.0,a29355d4-c3c1-48b4-a21e-a477790768e9,2020-03-27,Mandatory/advisedfor all the population,1
confinement,SLV,,1584748800000.0,828ba5b0-194f-40cd-a14a-ba06cbb55d06,2020-03-21,Mandatory/advisedfor all the population,1
confinement,USA,USA-MN,1586304000000.0,7ae15f9f-8d9a-4490-a84d-3b8e25af168f,2020-04-08,Mandatory/advisedfor all the population,1
state of emergency (legal impact),USA,USA-AL,1584057600000.0,43c9a549-50ff-47ef-b1a4-fe0fad89de03,2020-03-13,na,1
state of emergency (legal impact),ARM,,1584316800000.0,54fa76ea-c76f-4e42-a1cb-8214ad85f5be,2020-03-16,National guard joins the law enforcement,1
entertainment/cultural sector closure,USA,USA-CO,1590969600000.0,e64d120a-c01c-11ea-9467-eeee0af469a3,2020-06-01,Churches,1
international flight restrictions,NGA,,1584489600000.0,26982fc0-c0e5-11ea-88ce-eeee0af70b85,2020-03-18,JPN,1
entertainment/cultural sector closure,USA,USA-AL,1584835200000.0,4436dce2-c0eb-11ea-b9f6-eeee0af47818,2020-03-22,"Museums, theaters, cinema, libraries, festivities",1
school closure,BHR,,1582588800000.0,39d15aca-c0f0-11ea-92ed-eeee0af70b85,2020-02-25,All schools (general) closed,1
freedom of movement (nationality dependent),ALB,,1589155200000.0,f4672b82-c1c0-11ea-b18b-eeee0af46a96,2020-05-11,na,1
entertainment/cultural sector closure,BRB,,1596067200000.0,8ee4cbf8-c2b9-11ea-ad81-eeee0af6bfc5,2020-07-30,Parks and public gardens,0
mask wearing,DEU,,1586736000000.0,3b93fb92-c2c6-11ea-bed9-eeee0af6f646,2020-04-13,Recommended,1
school closure,IRL,,1583798400000.0,db68e542-c2e9-11ea-a177-eeee0af5624e,2020-03-10,Universities closed,1
entertainment/cultural sector closure,IRL,,1591920000000.0,17478fb4-c4d4-11ea-a62a-eeee0af715ab,2020-06-12,na,1
school closure,MAR,,1589241600000.0,824cc1e8-c4da-11ea-af79-eeee0af510b7,2020-05-12,na,1
entertainment/cultural sector closure,QAT,,1588291200000.0,14a15b10-c4f6-11ea-90cc-eeee0af510b7,2020-05-01,Parks and public gardens,1
entertainment/cultural sector closure,AND,,1584057600000.0,7af7e234-d262-11ea-af0e-eeee0af76969,2020-03-13,"Bars, restaurants, night clubs",1
mass gatherings,POL,,1583798400000.0,a279b668-41b0-4d96-8179-70c3a9b43ed7,2020-03-10,500,1
entertainment/cultural sector closure,USA,USA-AL,1584489600000.0,bde87416-61bd-4718-b06a-9d323b781dac,2020-03-18,Parks and public gardens,1
school closure,POL,,1583971200000.0,ead43ceb-4109-40b6-9eeb-67a695198864,2020-03-12,Only schools (primary/secondary) closed,1
mass gatherings,USA,USA-AL,1584316800000.0,c23be532-b45a-4f74-a056-8bd3f6bba4c5,2020-03-16,50,1
mass gatherings,USA,USA-AL,1584489600000.0,f207005a-dab9-42af-9fc9-ae2d148b626d,2020-03-18,25,1
entertainment/cultural sector closure,USA,USA-AL,1585267200000.0,54c2cc86-a9b7-4eb4-a5a7-10b7fa84cb24,2020-03-27,Gyms and pools,1
mass gatherings,ARM,,1588723200000.0,dc4b7647-220f-4365-8f3b-6f268bb65d09,2020-05-06,20,1
