flow,origin,destination
0.0,15,99
0.0,15,100
0.0,15,102
0.0,15,103
0.009,15,108
0.0,15,109
0.0,15,111
0.0,16,1
0.0,16,2
0.0,16,3
0.0,16,4
0.0,16,5
0.0,16,6
0.0,16,7
0.0,16,8
0.0,16,9
0.0,16,10
0.0,16,11
0.0,16,12
0.0,16,13
0.0,16,14
0.0028,16,15
0.975,16,16
0.012,16,17
0.0,16,18
0.0019,16,19
0.0,16,20
0.0,16,21
0.0,16,22
0.0009,16,23
0.0,16,24
0.0,16,25
0.0,16,26
0.0,16,27
0.0,16,28
0.0,16,29
0.0,16,30
0.0,16,33
0.0,16,34
0.0,16,35
0.0,16,36
0.0,16,37
0.0,16,38
0.0,16,39
0.0,16,40
0.0,16,41
0.0,16,43
0.0,16,45
0.0,16,46
0.0,16,47
0.0,16,48
0.0,16,49
0.0,16,50
0.0,16,51
0.0,16,52
0.0,16,53
0.0,16,54
0.0,16,55
0.0,16,58
0.0009,16,60
0.0,16,61
0.0,16,62
0.0,16,63
0.0,16,64
0.0,16,65
0.0,16,69
0.0,16,71
0.0,16,72
0.0,16,74
0.0,16,75
0.0,16,77
0.0,16,79
0.0,16,82
0.0,16,86
0.0,16,87
0.0,16,89
0.0,16,90
0.0,16,92
0.0,16,93
0.0,16,95
0.0,16,96
0.0056,16,97
0.0,16,98
0.0,16,99
0.0,16,100
0.0,16,101
0.0,16,102
0.0,16,103
0.0009,16,108
0.0,16,110
0.0,17,1
0.0,17,2
0.0,17,3
0.0,17,4
0.0,17,5
0.0,17,6
0.0,17,7
0.0,17,8
0.0,17,9
0.0,17,10
0.0,17,11
0.0,17,12
0.0,17,13
0.0,17,14
0.0,17,15
0.0191,17,16
0.9685,17,17
0.0,17,18
0.0034,17,19
0.0045,17,20
0.0,17,21
0.0034,17,22
0.0,17,23
0.0,17,24
0.0,17,25
0.0,17,26
0.0,17,27
0.0,17,28
0.0,17,29
0.0,17,30
0.0,17,31
0.0,17,32
0.0,17,33
0.0,17,34
0.0,17,35
0.0,17,36
0.0,17,37
0.0,17,38
0.0,17,39
0.0,17,40
0.0,17,41
0.0,17,42
0.0,17,44
0.0,17,45
0.0,17,46
0.0,17,47
0.0,17,48
0.0,17,49
0.0,17,50
0.0,17,51
0.0,17,52
0.0,17,53
0.0,17,54
0.0,17,58
0.0,17,63
0.0,17,67
0.0,17,79
0.0,17,87
0.0,17,93
0.0,17,94
0.0,17,96
0.0,17,97
0.0011,17,98
0.0,17,99
0.0,17,100
0.0,17,103
0.0,17,108
0.0,18,1
0.0,18,2
0.0058,18,3
0.0,18,4
0.0,18,5
0.0116,18,6
0.0,18,7
0.0,18,8
0.0,18,9
0.0,18,10
0.0,18,11
0.0,18,12
0.0,18,13
0.0,18,14
0.0174,18,15
0.0,18,16
0.0,18,17
0.9565,18,18
0.0,18,19
0.0,18,20
0.0,18,21
0.0,18,22
0.0,18,23
0.0,18,24
0.0,18,26
0.0,18,27
0.0,18,28
0.0,18,30
0.0,18,32
0.0058,18,33
0.0,18,34
0.0,18,35
0.0,18,36
0.0,18,37
0.0,18,38
0.0,18,39
0.0,18,40
0.0,18,41
0.0,18,42
0.0,18,45
0.0,18,47
0.0,18,48
0.0,18,49
0.0,18,51
0.0,18,52
0.0,18,53
0.0,18,58
0.0,18,61
0.0,18,63
0.0,18,67
0.0,18,69
0.0,18,71
0.0,18,93
0.0,18,96
0.0,18,97
