,2020-01-18,Origin,Destination
717,0.0,14,20
718,0.0,14,21
719,0.0,14,22
720,0.0,14,23
721,0.0,14,24
722,0.0,14,25
723,0.0,14,26
724,0.0,14,27
725,0.0,14,33
726,0.0,14,34
727,0.0,14,35
728,0.0,14,36
729,0.0,14,37
730,0.0,14,43
731,0.0,14,44
732,0.0,14,46
733,0.0,14,48
734,0.0,14,51
735,0.0,14,55
736,0.0,14,58
737,0.0,14,60
738,0.0,14,63
739,0.0,14,66
740,0.0,14,96
741,0.0271,14,97
742,0.0,14,98
743,0.0,14,99
744,0.0,14,108
745,0.0032,15,1
746,0.0008,15,2
747,0.0079,15,3
748,0.0,15,4
749,0.0004,15,5
750,0.0044,15,6
751,0.002,15,7
752,0.0,15,8
753,0.0008,15,9
754,0.0016,15,10
755,0.0,15,11
756,0.0353,15,12
757,0.0107,15,13
758,0.0016,15,14
759,0.8013,15,15
760,0.0163,15,16
761,0.0044,15,17
762,0.0179,15,18
763,0.0071,15,19
764,0.0004,15,20
765,0.0004,15,21
766,0.0,15,22
767,0.0,15,23
768,0.0,15,24
769,0.0,15,25
770,0.0,15,26
771,0.0,15,27
772,0.0,15,28
773,0.0004,15,29
774,0.0,15,30
775,0.0,15,31
776,0.0,15,32
777,0.0024,15,33
778,0.0032,15,34
779,0.0,15,35
780,0.0004,15,36
781,0.0004,15,37
782,0.0,15,38
783,0.0,15,39
784,0.0,15,40
785,0.0,15,41
786,0.0,15,42
787,0.0,15,43
788,0.0,15,44
789,0.0,15,45
790,0.0,15,46
791,0.0,15,47
792,0.0004,15,48
793,0.0,15,49
794,0.0,15,50
795,0.0,15,51
796,0.0,15,52
797,0.0,15,53
798,0.0,15,54
799,0.0,15,55
800,0.0,15,56
801,0.0004,15,58
802,0.0,15,59
803,0.0,15,60
804,0.0,15,61
805,0.0,15,62
806,0.0004,15,63
807,0.0,15,65
808,0.0,15,67
809,0.0,15,68
810,0.0,15,69
811,0.0,15,70
812,0.0,15,71
813,0.0,15,72
814,0.0,15,73
815,0.0,15,74
816,0.0,15,75
817,0.0,15,79
818,0.0,15,80
819,0.0,15,81
820,0.0,15,82
821,0.0,15,87
822,0.0,15,88
823,0.0,15,90
824,0.0,15,92
825,0.0,15,93
826,0.0,15,95
827,0.0004,15,96
828,0.0079,15,97
829,0.0119,15,98
830,0.0004,15,99
831,0.0,15,100
832,0.0,15,102
833,0.0016,15,103
834,0.0536,15,108
835,0.0,15,109
836,0.0,15,111
837,0.0,16,1
838,0.0,16,2
839,0.0007,16,3
840,0.0,16,4
841,0.0,16,5
842,0.0,16,6
843,0.0,16,7
844,0.0,16,8
845,0.0007,16,9
846,0.0,16,10
847,0.0,16,11
848,0.0007,16,12
849,0.0015,16,13
850,0.0,16,14
851,0.0305,16,15
852,0.8588,16,16
853,0.0535,16,17
854,0.0022,16,18
855,0.0104,16,19
856,0.0007,16,20
857,0.0,16,21
858,0.0007,16,22
859,0.0022,16,23
860,0.0,16,24
861,0.0,16,25
862,0.0,16,26
863,0.0,16,27
864,0.0007,16,28
865,0.0,16,29
866,0.0,16,30
867,0.0,16,33
868,0.0007,16,34
869,0.0,16,35
870,0.0,16,36
871,0.0,16,37
872,0.0,16,38
873,0.0,16,39
874,0.0,16,40
875,0.0,16,41
876,0.0,16,43
877,0.0,16,45
878,0.0,16,46
879,0.0,16,47
880,0.0,16,48
881,0.0,16,49
882,0.0,16,50
883,0.0,16,51
884,0.0,16,52
885,0.0,16,53
886,0.0,16,54
887,0.0,16,55
888,0.0,16,58
889,0.0,16,60
890,0.0,16,61
891,0.0,16,62
892,0.0007,16,63
893,0.0,16,64
894,0.0,16,65
895,0.0,16,69
896,0.0,16,71
897,0.0,16,72
898,0.0,16,74
899,0.0,16,75
900,0.0,16,77
901,0.0,16,79
902,0.0007,16,82
903,0.0,16,86
904,0.0,16,87
905,0.0,16,89
906,0.0,16,90
907,0.0,16,92
908,0.0,16,93
909,0.0,16,95
910,0.0,16,96
911,0.0171,16,97
912,0.0022,16,98
913,0.0,16,99
914,0.0,16,100
915,0.0,16,101
916,0.0,16,102
917,0.0,16,103
918,0.0149,16,108
919,0.0,16,110
920,0.0,17,1
921,0.0,17,2
922,0.0,17,3
923,0.0009,17,4
924,0.0,17,5
925,0.0,17,6
926,0.0,17,7
927,0.0,17,8
928,0.0,17,9
929,0.0009,17,10
930,0.0,17,11
931,0.0,17,12
932,0.0009,17,13
933,0.007,17,14
934,0.0079,17,15
935,0.0598,17,16
936,0.8355,17,17
937,0.0018,17,18
938,0.0193,17,19
939,0.0281,17,20
940,0.0035,17,21
941,0.0106,17,22
942,0.0141,17,23
943,0.0009,17,24
944,0.0,17,25
945,0.0018,17,26
946,0.0,17,27
947,0.0,17,28
948,0.0,17,29
949,0.0,17,30
950,0.0,17,31
951,0.0,17,32
952,0.0,17,33
953,0.0009,17,34
954,0.0009,17,35
955,0.0,17,36
956,0.0009,17,37
957,0.0,17,38
958,0.0,17,39
959,0.0,17,40
960,0.0,17,41
961,0.0,17,42
962,0.0,17,44
963,0.0,17,45
964,0.0,17,46
965,0.0,17,47
966,0.0009,17,48
967,0.0,17,49
968,0.0,17,50
969,0.0,17,51
970,0.0,17,52
971,0.0,17,53
972,0.0,17,54
973,0.0,17,58
974,0.0,17,63
975,0.0,17,67
976,0.0,17,79
977,0.0,17,87
978,0.0,17,93
979,0.0,17,94
980,0.0,17,96
981,0.0018,17,97
982,0.0018,17,98
983,0.0,17,99
984,0.0,17,100
985,0.0,17,103
986,0.0,17,108
987,0.0,18,1
988,0.0093,18,2
989,0.0163,18,3
990,0.0,18,4
991,0.0,18,5
992,0.0349,18,6
993,0.0,18,7
994,0.0,18,8
995,0.0023,18,9
996,0.0023,18,10
997,0.0,18,11
998,0.0023,18,12
999,0.0,18,13
1000,0.0,18,14
1001,0.1,18,15
1002,0.0047,18,16
1003,0.0047,18,17
1004,0.7814,18,18
1005,0.0023,18,19
1006,0.0,18,20
1007,0.0,18,21
1008,0.0,18,22
1009,0.0,18,23
1010,0.0,18,24
1011,0.0,18,26
1012,0.0,18,27
1013,0.0023,18,28
1014,0.0,18,30
1015,0.0,18,32
1016,0.0116,18,33
