"source","target","weight"
31,93,121
31,97,1
31,98,2
31,100,5
32,0,350
32,15,11
32,17,3
32,22,2
32,23,4
32,24,3
32,25,3
32,26,25
32,27,131
32,28,22
32,29,4
32,30,878
32,31,2414
32,32,111005
32,33,1
32,34,1
32,35,2
32,37,3
32,38,3
32,40,1
32,48,1
32,58,4
32,93,95
32,100,1
33,0,8
33,1,34
33,2,10
33,3,12
33,4,11
33,5,10
33,6,69
33,7,2
33,8,10
33,9,1
33,10,43
33,11,5
33,12,32
33,13,21
33,14,1
33,15,3781
33,16,62
33,17,192
33,18,1394
33,19,2415
33,20,53
33,21,3
33,22,5
33,23,25
33,24,20
33,25,5
33,26,7
33,27,1
33,28,514
33,29,1
33,30,1
33,33,129125
33,34,4188
33,35,157
33,36,103
33,37,143
33,38,5
33,39,9
33,40,13
33,41,30
33,42,1
33,43,1
33,45,5
33,46,3
33,47,9
33,48,3
33,49,2
33,50,6
33,51,2
33,52,5
33,54,20
33,93,3
33,96,4
33,97,9
33,98,2086
33,99,6
33,100,4
33,108,83
34,0,11
34,1,21
34,3,14
34,4,9
34,5,5
34,6,11
34,8,60
34,9,5
34,10,50
34,11,45
34,12,21
34,13,9
34,15,768
34,16,33
34,17,94
34,18,30
34,19,664
34,20,384
34,21,4
34,22,9
34,23,58
34,24,12
34,26,5
34,27,4
34,28,89
34,29,7
34,30,5
34,32,1
34,33,1759
34,34,220652
34,35,5109
34,36,622
34,37,661
34,38,12
34,39,16
34,40,40
34,41,3
34,42,3
34,45,72
34,46,8
34,47,9
34,48,20
34,49,2
34,50,11
34,51,9
34,52,2
34,53,9
34,54,16
34,55,4
34,58,8
34,93,49
34,96,3
34,97,4
34,98,67
34,99,13
34,100,6
34,108,29
34,109,1
35,0,13
35,1,119
35,3,54
35,4,7
35,5,4
35,6,22
35,7,14
35,8,9
35,9,2
35,10,12
35,11,13
35,12,3
35,13,10
35,15,255
35,16,15
35,17,37
35,18,15
35,19,151
35,20,3159
35,21,8
35,22,22
35,23,149
35,24,14
35,26,6
35,27,12
35,28,24
35,29,94
35,30,4
35,31,1
35,32,1
35,33,132
35,34,8991
35,35,251043
35,36,19870
35,37,1800
35,38,85
35,39,26
35,40,38
35,41,7
35,42,5
35,43,70
35,45,30
35,46,1
35,47,2
35,48,19
35,49,3
35,50,2
35,51,11
35,53,1
35,54,43
35,55,14
35,56,1
35,57,4
35,58,5
35,93,8
35,96,4
35,97,3
35,98,29
35,99,34
35,100,6
35,103,13
35,108,12
35,109,2
36,0,10
36,1,25
36,3,164
36,4,4
36,5,3
36,7,13
36,8,2
36,9,1
36,11,5
36,12,3
36,13,40
36,14,3
36,15,245
36,16,14
36,17,36
36,18,4
36,19,15
36,20,1245
36,21,4
36,22,16
36,23,285
36,24,26
36,25,3
36,26,6
36,27,11
36,28,50
36,29,99
36,30,5
36,31,3
36,32,2
36,33,83
36,34,987
36,35,11503
36,36,344049
36,37,13028
36,38,1188
36,39,89
36,40,109
36,41,5
36,42,1
36,43,131
36,44,1
36,45,77
36,46,14
36,47,93
36,48,68
36,49,1
36,50,9
36,51,5
36,52,2
36,54,21
36,56,1
36,57,8
36,58,3
36,67,1
36,93,1
36,96,20
36,97,2
36,98,324
36,99,50
36,100,6
36,103,55
36,108,9
36,109,3
37,0,40
37,1,26
37,2,3
37,3,33
37,4,11
37,5,63
37,6,10
37,7,5
37,9,4
37,10,10
37,11,4
37,12,74
37,13,54
37,14,96
37,15,266
37,16,49
37,17,218
37,18,10
37,19,19
37,20,150
37,21,53
37,22,43
37,23,302
37,24,46
37,25,4
37,26,26
37,27,63
37,28,206
37,29,216
37,30,43
37,31,43
37,32,3
37,33,61
37,34,367
37,35,759
37,36,6871
37,37,499215
37,38,5974
37,39,3917
37,40,1590
37,41,45
37,42,17
37,43,7
37,44,8
37,45,32
37,46,17
37,47,194
37,48,609
37,49,1
37,50,24
37,51,15
37,52,11
37,53,2
37,54,19
37,56,19
37,57,1
37,58,34
37,63,1
37,67,13
37,68,16
37,69,1
37,93,5
37,96,36
37,97,8
37,98,17
37,99,358
37,100,159
37,103,10
37,108,7
37,109,4
38,0,6
38,1,26
38,2,3
38,3,4
38,5,14
38,6,2
38,9,2
38,10,16
38,12,11
38,13,7
38,14,11
38,15,42
38,16,9
38,17,71
38,18,3
38,19,6
38,20,226
38,21,41
38,22,38
38,23,115
38,24,56
38,25,8
38,26,27
38,27,196
38,28,388
38,29,2645
38,30,17
38,31,5
38,32,5
38,33,27
38,34,38
38,35,120
38,36,2718
38,37,16840
38,38,147284
38,39,2587
38,40,206
38,41,7
38,42,4
38,43,4
38,44,2
38,45,4
38,46,1
38,47,3
38,48,88
38,50,1
38,51,3
38,52,1
38,53,1
38,54,2
38,56,1
38,57,2
38,58,3
38,67,14
38,69,1
38,93,6
38,96,36
38,97,3
38,98,32
38,99,28
38,100,8
38,103,1
38,108,2
38,109,1
39,0,53
39,2,2
39,5,4
39,6,1
39,9,1
39,12,4
39,13,6
39,14,7
39,15,32
39,16,55
39,17,11
39,19,6
39,20,10
39,21,4
39,22,10
39,23,27
39,24,52
39,25,1
39,26,7
39,27,86
39,28,22
39,29,39
39,30,14
39,31,4
39,33,27
39,34,26
39,35,502
39,36,159
39,37,9836
39,38,1007
39,39,174739
39,40,9164
39,41,45
39,42,14
39,43,7
39,44,10
39,46,3
39,47,6
39,48,150
39,49,3
39,50,2
39,51,8
39,52,1
39,54,9
39,55,1
39,57,43
39,58,9
39,66,2
39,67,7
39,93,5
39,96,5
39,98,7
39,99,717
39,100,8
39,108,2
39,109,1
40,0,393
40,2,2
40,3,2
40,5,4
40,6,3
40,10,2
40,12,4
40,13,1
40,15,28
40,16,3
40,17,5
40,18,4
40,19,2
40,20,10
40,21,1
40,22,9
40,23,23
40,24,17
40,25,7
40,26,5
40,27,5
40,28,7
40,29,16
40,30,1
40,31,2
40,32,2
40,33,39
40,34,23
40,35,52
40,36,75
40,37,3039
40,38,174
40,39,6501
40,40,191264
40,41,159
40,42,45
40,43,15
40,44,1
40,45,1
40,47,1
40,48,46
40,50,7
40,51,57
40,52,4
40,53,2
40,54,25
40,56,1
40,57,4
40,58,23
40,60,4
40,66,2
40,67,7
40,68,1
40,69,1
40,97,2
40,98,7
40,99,7047
40,100,3
40,108,3
40,109,3
41,0,640
41,15,17
41,17,3
41,18,318
41,19,2
41,20,1
41,22,4
41,23,5
41,24,2
41,25,1
41,26,1
41,27,3
41,28,22
41,29,13
41,33,59
41,34,7
41,35,13
41,36,14
41,37,173
41,38,10
41,39,93
41,40,392
41,41,171352
41,42,5566
41,43,57
41,44,20
41,45,1
41,46,4
41,47,8
41,48,76
41,50,34
41,51,129
41,52,6
41,53,1
41,54,359
41,55,12
41,56,6
41,57,12
41,58,18
41,60,3
41,66,1
41,67,8
41,68,9
41,69,2
41,70,1
41,93,1
41,94,1
41,99,5444
41,100,71
41,109,12
42,0,17
42,15,7
42,17,2
42,18,20
42,20,1
42,22,2
42,23,4
42,24,10
42,26,20
42,27,10
42,28,7
42,29,1
42,33,7
42,34,8
42,35,2
42,36,7
42,37,63
42,38,4
42,39,39
42,40,99
42,41,3381
42,42,230739
42,43,6940
42,44,158
42,45,1
42,47,31
42,48,16
42,50,3
42,51,49
42,52,6
42,54,244
42,55,6
42,56,4
42,57,2
42,58,34
42,60,1
42,61,1
42,62,12
42,63,1
42,64,1
42,66,5
42,67,26
42,68,19
42,69,12
42,71,3
42,72,1
42,98,3
42,99,306
42,100,10
42,109,263
43,0,2
43,20,1
43,23,2
43,26,1
43,27,1
43,28,2
43,33,1
43,34,3
43,36,2
43,37,17
43,38,6
43,39,6
43,40,33
43,41,124
43,42,10057
43,43,144027
43,44,255
43,47,1
43,48,5
43,51,6
43,52,1
43,53,2
43,54,229
43,55,6
43,56,4
43,57,5
43,58,28
43,60,1
43,61,16
43,62,2
43,63,5
43,64,2
43,65,1
43,66,11
43,67,41
43,68,23
43,69,13
43,71,3
43,99,27
43,100,1
43,109,4132
44,28,1
44,35,2
44,36,2
44,37,21
44,38,7
44,39,5
44,40,3
44,41,42
44,42,652
44,43,620
44,44,89913
44,48,4
44,51,4
44,52,1
44,54,46
44,55,5
44,56,1
44,57,72
44,58,49
44,59,1
44,60,2
44,61,2
44,63,1
44,65,1
44,66,52
44,67,5113
44,68,138
44,69,93
44,70,3
44,71,1
44,72,1
44,99,11
44,109,2424
45,0,9
45,1,14
45,2,13
45,3,1
45,4,4
45,5,1
45,6,6
45,7,2
45,8,3
45,9,5
45,10,174
45,11,7867
45,13,9
45,15,37
45,16,2
45,17,13
45,18,7
45,19,2
45,20,2
45,21,1
45,22,6
45,23,4
45,26,2
45,27,3
45,28,1
45,29,2
45,33,18
45,34,442
45,35,20
45,36,21
45,37,14
45,38,2
45,41,18
45,42,3
45,43,56
45,45,74691
45,46,3642
45,47,60
45,48,325
45,49,172
45,50,2601
45,51,3
45,52,15
45,53,3
45,54,1
45,55,2
45,56,1
45,57,2
45,58,3
45,97,1
45,98,4
45,100,50
45,108,7
46,1,9
46,2,7
46,3,10
46,4,12
46,5,14
46,6,10
46,7,1
46,8,1
46,9,4
46,10,74
46,11,468
46,12,4
46,13,12
46,15,26
46,16,8
46,17,8
46,18,18
46,19,1
46,20,4
46,21,2
46,22,29
46,23,39
46,24,6
46,25,1
46,26,98
46,27,1
46,28,41
46,29,5
46,30,1
46,33,9
46,34,26
46,35,9
46,36,19
46,37,30
46,38,1
46,39,1
46,40,3
46,41,9
46,43,25
46,45,2328
46,46,168508
46,47,3028
46,48,1866
46,49,681
46,50,9578
46,51,21
46,52,28
46,53,6
46,54,7
46,55,1
46,57,19
46,58,19
46,96,2
46,97,77
46,98,61
46,99,17
46,100,329
46,103,4
46,104,1
46,108,4
47,1,8
47,3,2
47,4,6
47,5,16
47,6,7
47,8,1
47,9,2
47,10,3
47,11,21
47,12,4
47,13,1
47,15,17
47,16,2
47,17,7
47,18,11
47,20,3
47,21,1
47,22,11
47,23,4
47,24,3
47,25,2
47,26,5
47,27,1
47,28,23
47,29,3
47,30,1
47,32,1
47,33,115
47,34,19
47,35,6
47,36,40
47,37,516
47,38,5
47,39,4
47,40,13
